코미디,박성광,"3,791"
애니메이션,신카이 마코토,"9,707"
드라마,스티븐 스필버그,437
액션,조나단 골드스타인,418
드라마,민용근,"1,660"
애니메이션,이노우에 다케히코,"17,188"
액션,다니엘 콴,746
애니메이션,소토자키 하루오,"1,667"
드라마,장항준,
다큐멘터리,오윤동,"5,375"
